mean_price_before_binance-coin,std_price_before_binance-coin,priceUsd_binance-coin,mean_price_before_cardano,std_price_before_cardano,priceUsd_cardano,mean_price_before_chainlink,std_price_before_chainlink,priceUsd_chainlink,mean_price_before_bitcoin-cash,std_price_before_bitcoin-cash,priceUsd_bitcoin-cash,mean_price_before_ripple,std_price_before_ripple,priceUsd_ripple,mean_price_before_ethereum,std_price_before_ethereum,priceUsd_ethereum,mean_price_before_bitcoin,std_price_before_bitcoin,priceUsd_bitcoin,mean_price_before_litecoin,std_price_before_litecoin,priceUsd_litecoin,mean_price_before_stellar,std_price_before_stellar,priceUsd_stellar,best_diff,best_crypto
13.807962689,0.011790600121258496,13.7994272035,0.03299967519165,5.608724142547055e-05,0.0330559678746,1.7867414313349999,0.009241345690441143,1.8011752586,205.6664602655,0.47876152019350243,206.1146436,0.1932830047635,8.193671315494234e-05,0.192934809097,130.434733386,0.12468331706855666,130.378213575,7211.403691695001,10.093805511274082,7215.99309272,41.6674702381,0.11481777046991683,41.9505046091,0.0447465106571,0.001058342479256427,0.0445637765452,4.589401024999461,bitcoin
13.805117527166667,0.00968472834845034,13.7615046121,0.0330184394193,5.127551114579592e-05,0.0331181164514,1.7915527070900001,0.010589917764414928,1.78888744289,205.81585471033335,0.42610139292212684,206.299943916,0.19316693954133335,0.00020921333578696253,0.193464139109,130.41589344899998,0.0940095444947033,130.359042097,7212.933492036667,7.61336470332294,7208.64918558,41.76181502843334,0.18246747270942024,41.6688127949,0.04468559928646667,0.0007557611970170298,0.0444321995646,0.4840892056666348,bitcoin-cash
13.7942142984,0.023195924188139948,13.7171305611,0.033043358677325,6.508965389553848e-05,0.0331229754288,1.79088639104,0.00874872260115714,1.80617793567,205.93687701175,0.4238244775779195,205.333518522,0.19324123943325,0.00022641122396218412,0.193547499214,130.40168061100002,0.08185280707948248,130.516152499,7211.862415422501,6.575031193147381,7196.80967359,41.73856447005,0.15607243913812147,41.790186451,0.044622249356,0.0006299493466713036,0.0448226000338,0.11447188799996866,ethereum
13.778797550939998,0.03989885569077832,13.7277650102,0.03305928202762,6.667280334789567e-05,0.0331234579765,1.793944699966,0.01020643805635714,1.81185363729,205.8162053138,0.45555316295282994,206.027525656,0.1933024913894,0.0002391768015779285,0.193418604485,130.4245749886,0.08743954567899673,130.895894119,7208.851867056001,8.817045067840349,7204.5388118,41.74888886624,0.13712009508942266,41.9130781298,0.04466231949156,0.0005528609349083056,0.0454559533187,0.4713191303999906,ethereum
13.770292127483335,0.04132297566015937,13.8371227167,0.0330699780191,6.513551694317887e-05,0.0334822804462,1.7969295228533333,0.011695815843757883,1.82033384476,205.85142537083334,0.41649209107214724,207.618233219,0.193321843572,0.00021911521115326735,0.193319209139,130.50312817699998,0.20770209379222296,131.962184349,7208.133024513333,8.080385794598389,7236.2047808,41.7762537435,0.13976607394713128,42.0821595348,0.04479459179608333,0.0005911852044339645,0.0456089719315,28.07175628666664,bitcoin
13.779839354514285,0.04539864615131453,13.830656357,0.033128878365828576,0.0001667941412423322,0.0336289725372,1.8002729974114284,0.013865250750959833,1.84393121491,206.103826492,0.7684393274909256,205.850012326,0.19332146722442858,0.0002000263847464773,0.193916824966,130.711564773,0.5831559268347851,132.098961527,7212.143275411429,12.922279778906454,7235.62378992,41.81995457082858,0.17218342647665125,42.1728423034,0.044910931815428566,0.0006212849230909357,0.0443018609553,23.480514508570195,bitcoin
13.786191479825,0.04570994610141929,13.8049220708,0.03319139013725,0.00023475036011727092,0.0336738367492,1.80573027459875,0.020075770866112116,1.84133452565,206.07209972125,0.7170737088246445,206.387405054,0.193395886942125,0.0002803589059354778,0.194074389181,130.88498936725,0.7294504823983935,132.412314343,7215.078339725,14.56183676353469,7249.47097147,41.864065537399995,0.20243035025972436,42.1274352089,0.044834797957912495,0.0006141854225064748,0.0450508388715,34.39263174500047,bitcoin
13.788272656599998,0.043211178495147745,13.7343113951,0.03324499531635555,0.0002721780707014031,0.0336209005255,1.8096863024933336,0.02221504927317402,1.82035033466,206.10713364711108,0.6789453214749819,205.581744904,0.19347127607977777,0.00034630575407353147,0.193894087971,131.05469214233332,0.8513383829748308,131.963426014,7218.899743252222,17.803632436883507,7237.54779816,41.89332883423333,0.20871716685982616,41.9581951667,0.044858802503866674,0.0005790135841284005,0.045459588722,18.648054907777805,bitcoin
13.782876530450002,0.04416922450948088,13.7527230953,0.03328258583727,0.00028280764389355994,0.0336136870743,1.8107527057100001,0.021214294807257072,1.82071806169,206.05459477280002,0.6613256043458983,205.607350196,0.1935135572689,0.0003528163369010561,0.193650904708,131.14556552949998,0.852540899193076,131.913621235,7220.764548743,17.79116378755457,7238.98744803,41.89981546748,0.1978466642278669,42.0735505796,0.04491888112568,0.0005780141786756508,0.0450687787967,18.222899287000473,bitcoin
13.780135309072728,0.042877565176015056,13.6850963309,0.03331268594972728,0.0002862661900565784,0.0334339835746,1.8116586471627274,0.020348702730782584,1.80534660929,206.0139361749091,0.6417170224282053,204.275175105,0.19352604339972726,0.0003372630559655848,0.192651637409,131.21538877545456,0.8412915836671389,130.632217454,7222.421175950909,17.749972078565825,7200.50136362,41.91560956858182,0.19486652410623007,41.9887127932,0.04493250818668181,0.0005502117922964743,0.045514969029,0.07310322461817975,litecoin
